ID;Name ; Forename;Gender;Phone;Birthdate;Email;ParentName;ParentForename;Parent_type;Parent_profession;ParentPhone
bs00201;KONKOBO;Zeïnata;Male;00(226) 56 56 56 56 80;05/01/2001;stude77458nt@gmail.com;Soro;brahima;Father;Farmer;00(226) 45 45 45 69
bs00146;KOUNKORGO ;Frank Arthur;Male;00(226) 56 56 56 56 81;06/01/2001;studw23434384wwq2ent@gmail.com;Soro;brahima;Father;Farmer;00(226) 45 45 45 70
bs00147;LAMIEN ;Bienvenue;Male;00(226) 56 56 56 56 82;07/01/2001;studqqqqqent@gmail.com;Soro;brahima;Father;Farmer;00(226) 45 45 45 71
bs00148;MOUNI ;Louis;Male;00(226) 56 56 56 56 83;08/01/2001;studsssssent@gmail.com;Soro;brahima;Father;Farmer;00(226) 45 45 45 72
bs00149;NABI ;Nicolas;Male;00(226) 56 56 56 56 84;09/01/2001;studaaaaaent@gmail.com;Soro;brahima;Father;Farmer;00(226) 45 45 45 73
bs00150;NANA ;Ramata;Male;00(226) 56 56 56 56 85;10/01/2001;studddddddent@gmail.com;Soro;brahima;Father;Farmer;00(226) 45 45 45 74
bs00145;NEBIE;Ebou;Male;00(226) 56 56 56 56 86;11/01/2001;studttttttent@gmail.com;Soro;brahima;Father;Farmer;00(226) 45 45 45 75
bs00151;NIKIEMA ;Souleymane;Male;00(226) 56 56 56 56 87;12/01/2001;studeeeeeent@gmail.com;Soro;brahima;Father;Farmer;00(226) 45 45 45 76
bs00165;N'ZOLA ;Nafiou Babatumdé;Male;00(226) 56 56 56 56 88;13/01/2001;studppppppent@gmail.com;Soro;brahima;Father;Farmer;00(226) 45 45 45 77
bs00137;OUEDRAOGO;Pegdawenda Rémi Armel;Male;00(226) 56 56 56 56 89;14/01/2001;studalllllent@gmail.com;Soro;brahima;Father;Farmer;00(226) 45 45 45 78
bs00138;OUEDRAOGO;Issiaka;Male;00(226) 56 56 56 56 90;15/01/2001;studdseeeeent@gmail.com;Soro;brahima;Father;Farmer;00(226) 45 45 45 79
bs00153;OUEDRAOGO; Ricardo Ambroise Hamed Wend-Guundi Patterson;Male;00(226) 56 56 56 56 91;16/01/2001;stude999988unt@gmail.com;Soro;brahima;Father;Farmer;00(226) 45 45 45 80
bs00167;OUEDRAOGO;Karim;Male;00(226) 56 56 56 56 92;17/01/2001;sturerererdent@gmail.com;Soro;brahima;Father;Farmer;00(226) 45 45 45 81
bs00208;OUEDRAOGO;Wendinsso Clodia;Male;00(226) 56 56 56 56 93;18/01/2001;studopppwent@gmail.com;Soro;brahima;Father;Farmer;00(226) 45 45 45 82
bs00152;OUEDRAOGO ;Paul;Male;00(226) 56 56 56 56 94;19/01/2001;studeesererwweqqsent@gmail.com;Soro;brahima;Father;Farmer;00(226) 45 45 45 83
bs00154;OUEDRAOGO ;Thomas;Male;00(226) 56 56 56 56 95;20/01/2001;studaaadddlooohhent@gmail.com;Soro;brahima;Father;Farmer;00(226) 45 45 45 84
bs00207;ROAMBA;Alassane;Male;00(226) 56 56 56 56 96;21/01/2001;stuhhhuiuiisdent@gmail.com;Soro;brahima;Father;Farmer;00(226) 45 45 45 85
bs00205;ROAMBA ;Relwendé Isabelle;Male;00(226) 56 56 56 56 97;22/01/2001;studasgzgvvzvent@gmail.com;Soro;brahima;Father;Farmer;00(226) 45 45 45 86
bs00163;ROUAMBA ;Walioulahi;Male;00(226) 56 56 56 56 98;23/01/2001;studellllhgggsssnt@gmail.com;Soro;brahima;Father;Farmer;00(226) 45 45 45 87
bs00155;SAWADOGO  ;Abdoulaye;Male;00(226) 56 56 56 56 99;24/01/2001;studgggggdent@gmail.com;Soro;brahima;Father;Farmer;00(226) 45 45 45 88
bs00179;SAWADOGO  ;Wêndkûuni Christian;Male;00(226) 56 56 56 56 100;25/01/2001;stuooooooedent@gmail.com;Soro;brahima;Father;Farmer;00(226) 45 45 45 89
bs00196;SAWADOGO  ;Maïmouna;Male;00(226) 56 56 56 56 101;26/01/2001;studhhhhyyyent@gmail.com;Soro;brahima;Father;Farmer;00(226) 45 45 45 90
bs00197;SEMDE;Salimata;Male;00(226) 56 56 56 56 102;27/01/2001;stukkkiuyywwwdent@gmail.com;Soro;brahima;Father;Farmer;00(226) 45 45 45 91
bs00156;SIMPORE ;Inoussa;Male;00(226) 56 56 56 56 103;28/01/2001;studwwwwooopppent@gmail.com;Soro;brahima;Father;Farmer;00(226) 45 45 45 92
bs00157;SOMBIE ;Alassane;Male;00(226) 56 56 56 56 104;29/01/2001;studw3q238232093ent@gmail.com;Soro;brahima;Father;Farmer;00(226) 45 45 45 93
bs00169;TIONON;Rasmané;Male;00(226) 56 56 56 56 105;30/01/2001;studsdsndfhdfyuer67323ent@gmail.com;Soro;brahima;Father;Farmer;00(226) 45 45 45 94
bs00158;TRAORE ;Razack Abdoul Souglimani ;Male;00(226) 56 56 56 56 106;31/01/2001;stuzdsdsddewe889dent@gmail.com;Soro;brahima;Father;Farmer;00(226) 45 45 45 95
bs00159;YAMEOGO ;G Obed;Male;00(226) 56 56 56 56 107;01/02/2001;stude56886868dsnt@gmail.com;Soro;brahima;Father;Farmer;00(226) 45 45 45 96
bs00160;YAMEOGO ;Marie Carine Pawendé;Male;00(226) 56 56 56 56 108;02/02/2001;stuppoijcsdsdent@gmail.com;Soro;brahima;Father;Farmer;00(226) 45 45 45 97
bs00164;YAMEOGO ;Abdoul Wahab;Male;00(226) 56 56 56 56 109;03/02/2001;studnmhxyuweent@gmail.com;Soro;brahima;Father;Farmer;00(226) 45 45 45 98
bs00175;YAMEOGO ;Adama;Male;00(226) 56 56 56 56 110;04/02/2001;stunhjjksaopasbxdent@gmail.com;Soro;brahima;Father;Farmer;00(226) 45 45 45 99
bs00203;YAMEOGO ;Kouka Valerie;Male;00(226) 56 56 56 56 111;05/02/2001;studsashjyyiuewent@gmail.com;Soro;brahima;Father;Farmer;00(226) 45 45 45 100
bs00206;YAMEOGO ;Edewige;Male;00(226) 56 56 56 56 112;06/02/2001;studassgtdweywent@gmail.com;Soro;brahima;Father;Farmer;00(226) 45 45 45 101
bs00210;YAMEOGO ;Tarbwenda Nafissatou;Male;00(226) 56 56 56 56 113;07/02/2001;studsajkjkppweent@gmail.com;Soro;brahima;Father;Farmer;00(226) 45 45 45 102
bs00214;YAMEOGO ;Carine Sergelle Zaman-Noma Tania;Male;00(226) 56 56 56 56 114;08/02/2001;stuassghyuident@gmail.com;Soro;brahima;Father;Farmer;00(226) 45 45 45 103
bs00215;YAMEOGO ;Wendsomnooma Charlotte;Male;00(226) 56 56 56 56 115;09/02/2001;studasghjkent@gmail.com;Soro;brahima;Father;Farmer;00(226) 45 45 45 104
bs00174;ZAGRE ;Adjaratou Rogomloutayandé;Male;00(226) 56 56 56 56 116;10/02/2001;studsasdewxbgfent@gmail.com;Soro;brahima;Father;Farmer;00(226) 45 45 45 105
bs00180;ZANE;Brice Chrislain Chrisologue;Male;00(226) 56 56 56 56 117;11/02/2001;studeheywrernt@gmail.com;Soro;brahima;Father;Farmer;00(226) 45 45 45 106
bs00172;ZI; Hama Aïda;Male;00(226) 56 56 56 56 118;12/02/2001;studuueent@gmail.com;Soro;brahima;Father;Farmer;00(226) 45 45 45 107
bs00200;ZIDA;Tégawendé Pascaline;Male;00(226) 56 56 56 56 119;13/02/2001;studeqerwqwwrnt@gmail.com;Soro;brahima;Father;Farmer;00(226) 45 45 45 108
bs00204;ZOMA;Pafandé Brigitte;Male;00(226) 56 56 56 56 120;14/02/2001;studesmdjsds58nt@gmail.com;Soro;brahima;Father;Farmer;00(226) 45 45 45 109
bs00161;ZONGO ;Boureima;Male;00(226) 56 56 56 56 121;15/02/2001;studjuewwent@gmail.com;Soro;brahima;Father;Farmer;00(226) 45 45 45 110
bs00211;ZONGO ;Patrice Wendkouni;Male;00(226) 56 56 56 56 122;16/02/2001;studhhgcgdhweent@gmail.com;Soro;brahima;Father;Farmer;00(226) 45 45 45 111
bs00168;ZOUBGA ;Kelly Valerie Louise;Male;00(226) 56 56 56 56 123;17/02/2001;studjusdyu47ent@gmail.com;Soro;brahima;Father;Farmer;00(226) 45 45 45 112
bs00162;ZOUNDI ;Pengdwendé Jean Jacques Roland;Male;00(226) 56 56 56 56 124;18/02/2001;stude5nt@gmail.com;Soro;brahima;Father;Farmer;00(226) 45 45 45 113
bs00171;ZOUNDI ;Timga Philippe;Male;00(226) 56 56 56 56 125;19/02/2001;stu4dent@gmail.com;Soro;brahima;Father;Farmer;00(226) 45 45 45 114
